,precision,recall,f1-score,support
Apple_Black_Rot,0.9827586206896551,0.9047619047619048,0.9421487603305785,63.0
Apple_Cedar_Rust,1.0,1.0,1.0,28.0
Apple_Healthy,0.9060773480662984,0.9939393939393939,0.9479768786127167,165.0
Apple_Scab,0.9615384615384616,0.7936507936507936,0.8695652173913043,63.0
accuracy,0.9373040752351097,0.9373040752351097,0.9373040752351097,0.9373040752351097
macro avg,0.9625936075736038,0.923088023088023,0.9399227140836498,319.0
weighted avg,0.9404184282486225,0.9373040752351097,0.9359064751334699,319.0
