epoch,train_loss,train_acc,val_loss,val_acc
0,1.2347930004199346,0.47739223,0.834260638554891,0.65894735
1,0.9083971162637074,0.6298633,0.8252194007237752,0.69789475
2,0.8060753166675567,0.6787592,0.7754173000653585,0.68421054
3,0.6842345044016838,0.71608835,0.5891130030155182,0.78105265
4,0.641785717010498,0.74500525,0.555279525121053,0.7968421
5,0.5727771610021591,0.7791798,0.5397956569989523,0.7842105
6,0.5665682862202327,0.77865404,0.46897748708724973,0.8168421
7,0.4982398673892021,0.818612,0.45417185028394064,0.8231579
8,0.47512096439798673,0.8201893,0.42043499946594237,0.83789474
9,0.4745921820402145,0.8228181,0.445611826578776,0.8168421
10,0.4023919110496839,0.85541534,0.3776878456274668,0.8673684
11,0.3728443073729674,0.86014724,0.3901032954454422,0.85052633
12,0.4036869391798973,0.8506835,0.4027602970600128,0.8326316
13,0.3196681854625543,0.8848581,0.3197383423646291,0.8736842
14,0.3106274276971817,0.8901157,0.2841063092152278,0.88842106
15,0.33322400028506916,0.8838065,0.2699909140666326,0.9031579
16,0.27757477511962253,0.89589906,0.35466134051481885,0.86526316
17,0.271064114322265,0.9074658,0.2816413015127182,0.8842105
18,0.29996405554314454,0.8953733,0.44109562734762825,0.8578947
19,0.2610119933883349,0.90378547,0.2649394457538923,0.9052632
20,0.24395740230878193,0.90851736,0.29609612027804055,0.89578944
21,0.2729108485082785,0.89905363,0.2975464622179667,0.8789474
22,0.22923344268153112,0.9164038,0.23513717353343963,0.91894734
23,0.23916649085779984,0.91692954,0.36409196903308233,0.87473685
24,0.2301185389359792,0.92166144,0.2785015682379405,0.8947368
25,0.24906984517971675,0.915878,0.24181536982456844,0.9031579
26,0.20310489572584628,0.9253417,0.21847416162490846,0.92105263
27,0.195137536774079,0.9284963,0.20187012950579325,0.9284211
28,0.18881465382874013,0.9342797,0.20917636503775913,0.91894734
29,0.22257360542813936,0.92113566,0.2111000249783198,0.93263155
30,0.18020025081932545,0.9363828,0.2008072185019652,0.92526317
31,0.17647971026599407,0.9384858,0.1735451896985372,0.93368423
32,0.16394736481209596,0.9363828,0.18693659007549285,0.93368423
33,0.20383490286767483,0.9305994,0.26819688926140467,0.90842104
34,0.1714091665111482,0.9411146,0.17697440336147943,0.9389474
35,0.19459749807914098,0.9305994,0.22589310506979624,0.9168421
36,0.1546866724267602,0.9426919,0.15743693659702937,0.94210523
37,0.16680314789215725,0.94216615,0.16205869565407435,0.9389474
38,0.1637500713268916,0.9442692,0.18038263618946077,0.94
39,0.14251135972638926,0.9495268,0.22567997326453526,0.91894734
40,0.13539849414179722,0.9589905,0.1642029955983162,0.93157893
41,0.13095380812883378,0.95005256,0.16352762381235758,0.94
42,0.15432961409290633,0.9479495,0.20720243851343792,0.9368421
43,0.15613468599816163,0.9463722,0.20915662124752998,0.93157893
44,0.164686795634528,0.94479495,0.16362008303403855,0.93578947
45,0.11099006241808335,0.96056783,0.28832877924044925,0.92421055
46,0.11670299644271533,0.957939,0.1449962352712949,0.951579
47,0.13246636129915715,0.9516299,0.23765718638896943,0.9168421
48,0.12468940299004316,0.957939,0.2149111325542132,0.90947366
49,0.11028819843195378,0.9595163,0.14415135631958645,0.94526315
