,precision,recall,f1-score,support
Apple_Black_Rot,0.64453125,0.8870967741935484,0.746606334841629,186.0
Apple_Cedar_Rust,0.6981132075471698,0.9024390243902439,0.7872340425531915,82.0
Apple_Healthy,0.890495867768595,0.8742393509127789,0.8822927328556807,493.0
Apple_Scab,0.7403846153846154,0.4074074074074074,0.5255972696245734,189.0
accuracy,0.7863157894736842,0.7863157894736842,0.7863157894736842,0.7863157894736842
macro avg,0.7433812351750951,0.7677956392259947,0.7354325949687686,950.0
weighted avg,0.7958686848805028,0.7863157894736842,0.7765580747650521,950.0
